Code,Order Progression Description,Max QA Week,Hand Off Point,Compliance,Health,Action Party,E1,E2,E3,E4,E5,E6,E7,E8
CREWZZ,"CM, REL, EXEC, WP, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
CRFFFZ,"CM, REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS, SFIX",12,PS-1,Compliant,T11 QA Check: FAIL,WPT, , , , , , ,,
CRFFZZ,"CM, REL, No EXEC, No WP or WPOK, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
CRFOFZ,"CM, REL, No EXEC, WPOK, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
CRFOZZ,"CM, REL, No EXEC, WPOK, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
CRFWFZ,"CM, REL, No EXEC, WP, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
CRFWZZ,"CM, REL, No EXEC, WP, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PCFFFZ,"PM, No REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PCFWFZ,"PM, No REL, No EXEC, WP, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PCFWZZ,"PM, REL, No EXEC, WP, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PREFFZ,"PM, REL, EXEC, No WP or WPOK, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PREOFZ,"PM, REL, EXEC, WPOK, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PREWFZ,"PM, REL, EXEC, WP, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PREWZZ,"PM, REL, EXEC, WP, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PRFFFZ,"PM, REL, No EXEC, No WP or WPOK, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PRFFZZ,"PM, REL, No EXEC, No WP or WPOK, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PRFOFZ,"PM, REL, No EXEC, WPOK, No ZPMM or ZPVS  , SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PRFOZZ,"PM, REL, No EXEC, WPOK, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PRFWFZ,"PM, REL, No EXEC, WP, No ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
PRFWZZ,"PM, REL, No EXEC, WP, ZPMM or ZPVS, SFIX",#N/A,#N/A,Status Error,#N/A,#N/A, , , , , , ,Simple Fix, 
